Sequence,bookID,Reference_Title,Edition_Source,
01,gzfh_ld,工字伏虎拳,黄飞鸿嫡传梁达编,
02,slgf_qc,少林棍法阐宗,清抄本,
03,slgf_low,少林棍法阐宗 (Low-res),低分辨率工作版本,
04,jx_rep,纪效新书 (民国),民国重刊本,
05,jx_mg,纪效新书 (18卷),明·戚继光撰 (伯克利藏清康熙抄本),
06,sec_cq,三十二势长拳,佚名 (长拳图谱),
07,gy_mg,耕余剩技,程宗猷撰 (明代武学丛书),
08,syl_v1,手臂录 (v1),吴殳撰 (第1册),
09,sbl_v2,手臂录 (v2),吴殳撰 (第2册),
10,wbz_mg,武备志 (卷85-93),明·茅元仪辑 (天启元年刻本),
11,bl_mg,兵录,明·何汝宾撰 (清写本),
12,yjj_qm,易筋经外经图说,清末上海同文书局石印本,
13,bdj_qm,八段锦册,清代绘本 (台北故宫博物院藏),
14,slgf_mt,少林棍法秘传,秘传版本,
15,hhsx_v1,虎鹤双形拳,林世荣/黄飞鸿脉络 (近代本),
16,cswj_v1,苌氏武技书,苌乃周撰 (河南苌家拳),
17,qigqj_m,戚继光拳经,戚继光 (拳经专题版本),
18,syl_v3,手臂录 (v3),泽古斋重钞 (第69册),
19,qjqf_tyl,拳经拳法备要,蟫隐庐本 (张孔昭撰),
20,wytp_nk,武艺图谱通志,朝鲜·李德懋等辑 (日本筑波大学藏),
21,jxxs_tw,纪效新书 (台湾),台湾华文电子书库版本,
22,cqs_q,长枪式图说,清手钞本,
23,mcgp_m,麻杈棍谱,山逸人造 (明隆庆/清康熙重订钞本),
24,zggyjf,中国古佚剑法,佚名 (现代整理/辑录本),
25,bjzz_q,兵技指掌图说,清道光二十三年讷尔经额序 (清绘本),
26,tbbb_part1,太白兵备统宗宝鉴vol1-96,清咸丰十年钞本 (卷1-96),
27,tbbb_part2,太白兵备统宗宝鉴vol97-184,清咸丰十年钞本 (卷97-184),
28,cztjj_m,剿贼图记,明·元默著 (明崇祯刻本),
